index,topic
0,1
1,1
2,0
3,1
4,1
5,1
6,2
7,0
8,1
9,1
10,1
11,1
12,0
13,0
14,0
15,2
16,1
17,1
18,3
19,1
20,3
21,3
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,2
30,1
31,2
32,1
33,1
34,1
35,3
36,0
37,2
38,1
39,5
40,3
41,4
42,2
43,1
44,2
45,1
46,3
47,1
48,1
49,5
50,1
51,1
52,1
53,1
54,3
55,1
56,2
57,3
58,3
59,1
60,3
61,1
62,1
63,1
64,1
65,1
66,1
67,3
68,3
69,1
70,1
71,1
72,1
73,1
74,3
75,3
76,3
77,3
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,3
127,3
128,3
129,1
130,1
131,3
132,6
133,1
134,1
135,1
136,3
137,3
138,3
139,1
140,3
141,3
142,3
143,3
144,1
145,3
146,3
147,3
148,3
149,3
150,1
151,1
152,1
153,3
154,3
155,5
156,3
157,1
158,3
159,1
160,1
161,1
162,1
163,3
164,1
165,1
166,1
167,4
168,3
169,3
170,3
171,1
172,4
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,6
182,1
183,1
184,1
185,1
186,1
187,4
188,2
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,3
197,1
198,4
199,1
200,1
201,1
202,5
203,1
204,5
205,1
206,2
207,1
208,3
209,3
210,1
211,3
212,1
213,3
214,1
215,1
216,1
217,3
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,4
226,1
227,1
228,1
229,1
230,1
231,1
232,5
233,4
234,3
235,4
236,4
237,1
238,6
239,6
240,4
241,4
242,1
243,3
244,4
245,4
246,2
247,4
248,1
249,0
250,1
251,3
252,4
253,4
254,6
255,4
256,1
257,1
258,1
259,4
260,2
261,0
262,0
263,3
264,3
265,4
266,1
267,4
268,1
269,4
270,2
271,2
272,4
273,4
274,1
275,4
276,1
277,1
278,5
279,0
280,1
281,1
282,1
283,1
284,4
285,1
286,4
287,5
288,1
289,3
290,4
291,3
292,3
293,1
294,1
295,4
296,3
297,4
298,5
299,1
300,0
301,5
302,4
303,3
304,4
305,3
306,1
307,4
308,1
309,1
310,1
311,1
312,1
313,1
314,6
315,3
316,3
317,6
318,1
319,5
320,1
321,1
322,1
323,6
324,5
325,6
326,1
327,3
328,1
329,0
330,4
331,1
332,1
333,4
334,3
335,3
336,0
337,2
338,1
339,1
340,1
341,0
342,2
343,0
344,1
345,1
346,3
347,0
348,5
349,3
350,6
351,2
352,1
353,2
354,3
355,1
356,2
357,3
358,2
359,1
360,3
361,1
362,5
363,1
364,5
365,1
366,1
367,1
368,4
369,3
370,1
371,3
372,1
373,1
374,1
375,5
376,6
377,1
378,1
379,1
380,3
381,1
382,0
383,1
384,1
385,3
386,1
387,1
388,2
389,1
390,3
391,1
392,1
393,1
394,6
395,1
396,1
397,6
398,1
399,6
400,3
401,1
402,0
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,4
411,1
412,6
413,1
414,4
415,6
416,1
417,6
418,1
419,6
420,1
421,1
422,0
423,0
424,1
425,6
426,4
427,1
428,1
429,3
430,1
431,6
432,5
433,4
434,4
435,6
436,0
437,1
438,4
439,1
440,0
441,0
442,0
443,4
444,1
445,0
446,1
447,1
448,4
449,6
450,0
451,5
452,3
453,0
454,1
455,1
456,0
457,4
458,1
459,6
460,3
461,3
462,3
463,1
464,1
465,6
466,0
467,1
468,1
469,1
470,1
471,1
472,2
473,1
474,4
475,1
476,1
477,1
478,6
479,1
480,1
481,6
482,1
483,3
484,6
485,5
486,5
487,5
488,1
489,1
490,1
491,1
492,3
493,0
494,5
495,3
496,1
497,1
498,0
499,2
500,5
501,6
502,1
503,2
504,5
505,1
506,2
507,1
508,1
509,1
510,1
511,1
512,0
513,4
514,0
515,0
516,1
517,6
518,2
519,6
520,2
521,4
522,3
523,3
524,2
525,1
526,1
527,5
528,1
529,4
530,5
531,5
532,1
533,1
534,0
535,1
536,1
537,0
538,1
539,5
540,2
541,3
542,1
543,1
544,3
545,3
546,0
547,1
548,1
549,1
550,3
551,1
552,1
553,1
554,1
555,1
556,1
557,2
558,3
559,1
560,1
561,1
562,3
563,3
564,0
565,0
566,1
567,1
568,2
569,1
570,1
571,1
572,5
573,2
574,1
575,1
576,1
577,0
578,2
579,1
580,1
581,0
582,6
583,3
584,0
585,3
586,1
587,1
588,3
589,5
590,1
591,1
592,0
593,0
594,1
595,0
596,1
597,2
598,3
599,1
600,1
601,5
602,5
603,6
604,5
605,1
606,3
607,3
608,3
609,0
610,4
611,5
612,0
613,1
614,1
615,1
616,1
617,3
618,3
619,3
620,3
621,1
622,3
623,2
624,5
625,3
626,3
627,3
628,1
629,1
630,4
631,0
632,1
633,3
634,3
635,5
636,2
637,5
638,3
639,3
640,1
641,3
642,1
643,1
644,1
645,3
646,1
647,1
648,1
649,3
650,3
651,3
652,1
653,2
654,4
655,5
656,1
657,1
658,4
659,3
660,6
661,6
662,1
663,1
664,1
665,1
666,6
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,3
675,1
676,1
677,3
678,5
679,1
680,3
681,5
682,3
683,0
684,1
685,1
686,6
687,1
688,4
689,3
690,2
691,0
692,1
693,1
694,1
695,1
696,0
697,1
698,2
699,0
700,0
701,1
702,3
703,1
704,6
705,1
706,4
707,1
708,1
709,5
710,0
711,1
712,0
713,1
714,0
715,5
716,0
717,1
718,0
719,3
720,3
721,1
722,0
723,1
724,1
725,0
726,3
727,0
728,1
729,0
730,3
731,2
732,3
733,5
734,0
735,1
736,1
737,0
738,3
739,3
740,4
741,3
742,0
743,1
744,0
745,5
746,5
747,5
748,3
749,2
750,1
751,3
752,1
753,1
754,3
755,4
756,5
757,1
758,2
759,2
760,3
761,4
762,3
763,1
764,1
765,5
766,3
767,5
768,1
769,0
770,0
771,1
772,1
773,1
774,0
775,2
776,1
777,1
778,6
779,1
780,5
781,1
782,0
783,4
784,1
785,1
786,1
787,3
788,0
789,5
790,0
791,1
792,3
793,1
794,6
795,4
796,0
797,5
798,0
799,0
800,4
801,5
802,2
803,2
804,6
805,6
806,3
807,0
808,0
809,0
810,1
811,5
812,1
813,1
814,3
815,3
816,1
817,1
818,0
819,1
820,0
821,1
822,5
823,1
824,1
825,0
826,4
827,1
828,1
829,3
830,4
831,0
832,3
833,0
834,0
835,3
836,4
837,6
838,1
839,1
840,1
841,0
842,2
843,5
844,0
845,2
846,3
847,0
848,1
849,2
850,4
851,4
852,1
853,1
854,1
855,1
856,1
857,1
858,3
859,5
860,5
861,1
862,0
863,1
864,4
865,6
866,0
867,1
868,2
869,6
870,4
871,5
872,0
873,1
874,0
875,0
876,0
877,1
878,5
879,3
880,1
881,0
882,6
883,6
884,6
885,6
886,6
887,6
888,2
889,0
890,6
891,3
892,0
893,6
894,2
895,6
896,1
897,4
898,2
899,3
900,0
901,0
902,0
903,0
904,0
905,1
906,4
907,6
908,1
909,1
910,0
911,6
912,4
913,0
914,5
915,5
916,1
917,1
918,5
919,5
920,0
921,2
922,2
923,0
924,1
925,4
926,1
927,1
928,5
929,1
930,1
931,5
932,2
933,1
934,1
935,1
936,2
937,1
938,2
939,4
940,3
941,3
942,3
943,2
944,5
945,1
946,1
947,5
948,4
949,3
950,4
951,1
952,1
953,2
954,1
955,2
956,4
957,0
958,2
959,1
960,2
961,3
962,6
963,3
964,1
965,1
966,1
967,1
968,5
969,5
970,1
971,5
972,6
973,2
974,4
975,3
976,1
977,2
978,2
979,1
980,5
981,1
982,1
983,5
984,4
985,1
986,1
987,3
988,1
989,1
990,5
991,3
992,1
993,0
994,0
995,3
